iter	Passed	Remaining
471	13317	1397399
472	13347	1397606
473	13383	1398414
474	13422	1399421
475	13455	1399896
476	13485	1400105
477	13517	1400420
478	13546	1400536
479	13578	1400811
480	13612	1401393
481	13647	1402106
482	13680	1402493
483	13719	1403624
484	13754	1404243
485	13792	1405143
486	13824	1405542
487	13856	1405871
488	13891	1406546
489	13926	1407169
490	13963	1407971
491	13998	1408627
492	14034	1409364
493	14073	1410350
494	14106	1410771
495	14135	1410832
496	14165	1410916
497	14196	1411115
498	14226	1411322
499	14266	1412347
500	14303	1413191
501	14363	1416239
502	14394	1416483
503	14424	1416595
504	14455	1416823
505	14492	1417612
506	14527	1418148
507	14558	1418329
508	14587	1418388
509	14616	1418396
510	14647	1418567
511	14677	1418653
512	14711	1419187
513	14745	1419633
514	14785	1420674
515	14819	1421151
516	14852	1421551
517	14887	1422126
518	14921	1422618
519	14954	1422951
520	14990	1423625
521	15023	1424007
522	15056	1424352
523	15095	1425325
524	15127	1425564
525	15163	1426214
526	15199	1426847
527	15233	1427330
528	15264	1427496
529	15294	1427625
530	15325	1427762
531	15361	1428362
532	15428	1431859
533	15462	1432340
534	15492	1432430
535	15521	1432416
536	15552	1432516
537	15582	1432639
538	15612	1432695
539	15642	1432755
540	15677	1433286
541	15711	1433685
542	15745	1434161
543	15777	1434354
544	15808	1434512
545	15839	1434661
546	15872	1435010
547	15910	1435821
548	15942	1436043
549	15973	1436204
550	16006	1436470
551	16042	1437076
552	16075	1437424
553	16109	1437777
554	16152	1439066
555	16185	1439317
556	16223	1440124
557	16255	1440310
558	16292	1441000
559	16325	1441318
560	16359	1441744
561	16394	1442172
562	16434	1443123
563	16503	1446608
564	16536	1446900
565	16566	1446894
566	16605	1447764
567	16640	1448204
568	16670	1448262
569	16701	1448324
570	16730	1448323
571	16761	1448422
572	16790	1448339
573	16817	1448095
574	16854	1448739
575	16889	1449229
576	16920	1449347
577	16956	1449850
578	16989	1450177
579	17024	1450602
580	17057	1450872
581	17091	1451230
582	17129	1451939
583	17161	1452122
584	17195	1452465
585	17225	1452538
586	17252	1452330
587	17295	1453422
588	17332	1453985
589	17362	1454069
590	17394	1454210
591	17424	1454269
592	17457	1454516
593	17486	1454465
594	17523	1455062
595	17560	1455644
596	17622	1458337
597	17651	1458205
598	17678	1457980
599	17707	1457892
600	17736	1457882
601	17771	1458307
602	17810	1458980
603	17845	1459406
604	17876	1459482
605	17905	1459482
606	17934	1459392
607	17964	1459417
608	18005	1460243
609	18050	1461493
610	18083	1461758
611	18120	1462291
612	18153	1462545
613	18183	1462566
