iter	RMSE
1119	0.7126232083
1120	0.7126149606
1121	0.7126094255
1122	0.7126036631
1123	0.7125983959
1124	0.7125927485
1125	0.7125875407
1126	0.7125798193
1127	0.7125726401
1128	0.7125669503
1129	0.712560671
1130	0.7125539967
1131	0.7125474945
1132	0.7125398342
1133	0.7125332295
1134	0.7125258592
1135	0.712520033
1136	0.7125146492
1137	0.7125083478
1138	0.7125014594
1139	0.7124958711
1140	0.7124883958
1141	0.7124816353
1142	0.7124743715
1143	0.7124669719
1144	0.7124596487
1145	0.712451428
1146	0.7124456598
1147	0.7124390266
1148	0.7124338976
1149	0.7124280146
1150	0.7124194322
1151	0.7124138786
1152	0.7124078787
1153	0.7124015116
1154	0.7123950245
1155	0.7123888223
1156	0.7123818126
1157	0.7123755989
1158	0.7123695899
1159	0.7123645915
1160	0.7123593389
1161	0.7123538815
1162	0.7123486748
1163	0.7123427696
1164	0.7123343948
1165	0.7123291088
1166	0.7123231964
1167	0.7123163327
1168	0.7123098995
1169	0.7123020051
1170	0.7122945785
1171	0.7122883291
1172	0.7122832807
1173	0.7122760714
1174	0.7122696018
1175	0.712263515
1176	0.7122567093
1177	0.712251792
1178	0.7122456506
1179	0.7122390339
1180	0.7122316436
1181	0.7122243893
1182	0.7122176175
1183	0.7122106896
1184	0.7122044024
1185	0.712196497
1186	0.712189448
1187	0.7121836922
1188	0.7121784024
1189	0.7121726282
1190	0.7121660064
1191	0.7121606346
1192	0.7121550555
1193	0.7121475879
1194	0.712141382
1195	0.7121343274
1196	0.7121288382
1197	0.7121243806
1198	0.7121185182
1199	0.7121126017
1200	0.7121052304
1201	0.7120977423
1202	0.7120908634
1203	0.7120858218
1204	0.7120815493
1205	0.7120738343
1206	0.7120666336
1207	0.7120613256
1208	0.712055226
1209	0.7120498216
1210	0.7120425878
1211	0.7120364385
1212	0.7120307737
1213	0.7120255604
1214	0.712017624
1215	0.7120115986
1216	0.7120046205
1217	0.71199754
1218	0.7119918046
1219	0.7119863596
1220	0.7119789224
1221	0.7119730746
1222	0.7119686748
1223	0.7119629998
1224	0.7119549014
1225	0.7119478091
1226	0.7119426046
1227	0.7119387817
1228	0.7119328284
1229	0.7119260311
1230	0.7119203849
1231	0.7119157864
1232	0.7119086039
1233	0.7119039346
1234	0.7118979228
1235	0.7118901369
1236	0.7118842728
1237	0.7118783801
1238	0.7118729912
1239	0.7118675583
1240	0.7118625959
1241	0.7118568279
1242	0.7118506942
1243	0.711844146
1244	0.7118376261
1245	0.7118320058
1246	0.7118262669
1247	0.7118214568
1248	0.7118151504
1249	0.7118076571
1250	0.7118023179
1251	0.7117965856
1252	0.7117906353
1253	0.7117850382
1254	0.7117773038
1255	0.7117711348
1256	0.7117647708
1257	0.7117592057
1258	0.7117539543
1259	0.7117479676
1260	0.7117429908
1261	0.711737427
1262	0.7117322036
1263	0.711726321
1264	0.7117204165
1265	0.711713565
1266	0.7117077127
1267	0.7117023354
1268	0.7116951174
1269	0.7116887572
1270	0.7116830932
1271	0.7116780221
1272	0.7116709877
1273	0.7116647148
1274	0.7116591172
1275	0.7116538537
1276	0.7116483197
1277	0.7116432344
1278	0.7116362466
1279	0.7116330157
1280	0.7116258696
1281	0.7116208962
1282	0.7116149988
1283	0.7116081373
1284	0.7116034253
1285	0.7115973075
1286	0.7115917146
1287	0.7115862961
1288	0.7115797626
1289	0.7115754489
1290	0.7115702792
1291	0.7115642474
1292	0.7115582802
1293	0.7115533572
1294	0.7115492032
1295	0.7115430375
1296	0.7115369489
1297	0.711532791
1298	0.711529229
1299	0.7115227718
1300	0.7115167803
1301	0.7115116161
1302	0.7115046136
1303	0.7114974987
1304	0.7114915514
1305	0.7114853515
1306	0.7114783518
1307	0.7114718151
1308	0.7114657668
1309	0.7114588372
1310	0.7114536852
1311	0.7114478075
1312	0.7114430268
1313	0.7114361124
1314	0.7114287298
1315	0.7114232901
1316	0.7114193069
1317	0.7114154664
1318	0.7114088547
1319	0.711403728
1320	0.7113976021
1321	0.7113924854
1322	0.7113851096
1323	0.71138091
1324	0.711375276
1325	0.7113701639
1326	0.7113643916
1327	0.7113588265
1328	0.7113520316
1329	0.7113468987
1330	0.7113420631
1331	0.7113370939
1332	0.7113316455
1333	0.7113260481
1334	0.7113199713
1335	0.7113143401
1336	0.711307595
1337	0.7113006817
1338	0.7112960622
1339	0.7112878713
1340	0.7112818052
1341	0.7112763349
1342	0.7112708717
1343	0.7112630356
1344	0.7112588904
1345	0.7112524042
1346	0.7112459195
1347	0.7112406091
1348	0.7112351632
1349	0.7112303013
1350	0.7112250141
1351	0.7112183977
1352	0.7112118108
1353	0.7112067529
1354	0.7112010386
1355	0.7111953983
1356	0.711190453
1357	0.7111848647
1358	0.7111803623
1359	0.7111742744
1360	0.7111685285
1361	0.711164628
1362	0.711159473
1363	0.7111541659
1364	0.7111481994
1365	0.7111440195
1366	0.7111373243
1367	0.7111335602
1368	0.7111260935
1369	0.7111205231
1370	0.7111152217
1371	0.7111097543
1372	0.7111044245
1373	0.7111007005
1374	0.7110967261
1375	0.711090292
1376	0.7110850588
1377	0.7110798024
1378	0.7110746938
1379	0.7110699347
1380	0.711065411
1381	0.711060406
1382	0.7110546739
1383	0.7110471391
1384	0.7110417658
1385	0.7110364471
1386	0.7110292597
1387	0.7110237459
1388	0.7110174898
1389	0.7110139238
1390	0.7110089305
1391	0.7110041916
1392	0.7109993995
1393	0.7109929046
1394	0.7109889485
1395	0.7109836548
1396	0.7109777979
1397	0.7109723484
1398	0.7109664813
1399	0.7109610893
1400	0.7109560923
1401	0.7109511539
1402	0.710947018
1403	0.7109411092
1404	0.7109364958
1405	0.7109315633
1406	0.7109266359
1407	0.7109206682
1408	0.7109145415
1409	0.7109096625
1410	0.7109028339
1411	0.7108984852
1412	0.7108929996
1413	0.7108874981
1414	0.7108825395
1415	0.7108769545
1416	0.710872365
1417	0.7108674621
1418	0.7108599702
1419	0.7108541775
1420	0.7108488661
1421	0.710843754
1422	0.7108379671
1423	0.7108308668
1424	0.7108259702
1425	0.7108212511
1426	0.7108169583
1427	0.7108106777
1428	0.7108035747
1429	0.7107971845
1430	0.7107914621
1431	0.7107855127
1432	0.7107806465
1433	0.7107742578
1434	0.7107683797
1435	0.7107621641
1436	0.7107568502
1437	0.7107519704
1438	0.710746836
1439	0.7107423694
1440	0.7107377554
1441	0.7107320566
1442	0.7107256103
1443	0.7107210345
1444	0.7107169771
1445	0.7107127333
1446	0.7107093044
1447	0.7107049911
1448	0.7107012745
1449	0.7106970467
1450	0.7106916435
1451	0.7106848389
1452	0.7106786657
1453	0.7106736438
1454	0.7106693626
1455	0.7106652253
1456	0.7106607116
1457	0.7106567355
1458	0.7106508076
1459	0.7106448618
1460	0.7106382211
1461	0.7106332323
1462	0.7106275484
1463	0.7106229892
1464	0.7106190948
1465	0.7106150462
1466	0.7106101374
1467	0.7106055388
1468	0.7106023019
1469	0.7105978425
1470	0.7105914798
1471	0.7105865378
1472	0.7105812493
1473	0.710574409
1474	0.7105697247
1475	0.7105635183
1476	0.7105578932
1477	0.7105522043
1478	0.7105458784
1479	0.7105398641
1480	0.710534594
1481	0.7105290417
1482	0.710524062
1483	0.710519878
1484	0.7105157909
1485	0.7105107379
1486	0.7105058032
1487	0.7105009103
1488	0.7104961791
1489	0.7104898678
1490	0.7104855191
1491	0.710479724
1492	0.710475374
1493	0.7104720218
1494	0.7104662633
1495	0.7104610425
1496	0.710456564
1497	0.7104513932
1498	0.710446657
1499	0.7104411792
1500	0.7104346829
1501	0.7104297403
1502	0.7104255309
1503	0.7104203708
1504	0.710415919
1505	0.7104104246
1506	0.7104056342
1507	0.7104008226
1508	0.7103969427
1509	0.7103918456
1510	0.7103875987
1511	0.7103829986
1512	0.7103780382
